Income1,Income2,2016,2017
10000,28000,0,0
28001,30000,25.6,0
30001,32000,51.2,12
32001,34000,76.8,24
34001,36000,102.4,36
36001,40000,150,48
40001,44000,150,58
44001,48000,150,68
48001,60000,150,78
