Income1,Income2,2016,2017
10000,22000,0,0
22001,24000,12.8,0
24001,26000,25.6,12
26001,28000,38.4,24
28001,30000,51.2,36
30001,34000,75,48
34001,38000,75,58
38001,42000,75,68
42001,60000,75,78
