Natural gas royalties,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
Budget 2016,406,313,339,169,445,493,151,128,185
Budget 2015,406,313,339,169,445,542,344,402,492
