Income1,Income2,2016,2017
10000,31000,0,0
31001,33000,25.6,0
33001,35000,51.2,24
35001,37000,76.8,48
37001,39000,102.4,72
39001,43000,150,96
43001,47000,150,116
47001,51000,150,136
51001,60000,150,156
