Type,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1981/82,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16
Total Debt as a Percent of GDP,24.7,25.6,24.9,23.8,21.1,21.3,23.1,24.4,24.9,23.3,23.3,21.6,22.2,26.9,30.1,30.5,30.2,29.8,26.7,23.2,21.1,21.3,24,26.3,27.1,26.5,26.7,26.4,26,27.3,28,25.3,26.6,26.2,25.4,22.3,19.8,17.9,17.6,18.6,21.4,21.9,23.1,25.1,26.4,26.4,26.6
Taxpayer-Supported Debt as a Percent of GDP,6.7,7.1,7.2,7.2,6.7,6.5,7.2,8.4,8.1,7.1,6.9,6.5,6.4,10.1,12.8,12.7,13.8,15,13.9,12.8,11.6,12.1,15,17.8,18.8,18.6,18.5,19.1,19,19.7,20.5,18.8,20.2,20.9,20.2,17.8,15.7,13.9,13.5,12.9,15.3,15.4,15.9,17.2,17.9,17.5,17.7
