Income,2016,2017
10000,0,0
22001,0,0
22001,12.8,0
24001,12.8,0
24001,25.6,12
26001,25.6,12
26001,38.4,24
28001,38.4,24
28001,51.2,36
30001,51.2,36
30001,75,48
34001,75,48
34001,75,58
38001,75,58
38001,75,68
42001,75,68
42001,75,78
60000,75,78
