Income1,Income2,2016,2017
10000,25000,0,0
25001,27000,23.2,0
27001,29000,46.4,24
29001,31000,69.6,48
31001,33000,92.8,72
33001,37000,136,96
37001,41000,136,116
41001,45000,136,136
45001,60000,136,156
