Date,Total-Males,Total-Females,Management-Males,Management-Females,Business-Males,Business-Females,Natural-Males,Natural-Females,Health-Males,Health-Females,Government-Males,Government-Females,Art-Males,Art-Females,Sales-Males,Sales-Females,Trades-Males,Trades-Females,Resources-Males,Resources-Females,Manufacturing-Males,Manufacturing-Females
11-2008,7205.3,7100.2,637.2,438.8,659,1842.9,780.1,239.2,134.5,766.8,520.5,1085.2,136.8,159.4,1545.9,2174.6,2009.8,127,192.8,31.7,588.9,234.7
12-2008,7088.4,7147.4,636.6,445.9,671.3,1869.6,777,219.2,134.9,776.9,521.2,1083.4,133.2,167,1541.3,2194.2,1936.4,123.9,177.9,33,558.6,234.4
01-2009,6809.2,7002,620.7,442.1,650.4,1804.4,765.7,224.5,134.9,772,512,1107.2,131.8,155.7,1508.3,2138.6,1805.5,116.5,164.6,28.4,515.2,212.5
02-2009,6799.5,7033.7,612.2,424.9,656.6,1807.2,772.6,219.9,130.9,777.7,511.9,1106.8,130.6,156.6,1524.4,2168.8,1765.4,118.7,167.1,30.7,527.9,222.4
03-2009,6765.6,7031.2,602,424.4,667.7,1841.6,769.1,235,127.6,761.8,508.4,1101.1,121.7,147.1,1520.3,2138.7,1778.1,120.3,159.7,40.8,510.8,220.5
04-2009,6807.4,7026.2,594.3,424.1,684,1832.4,751.7,225.8,129.2,782.8,530.5,1115.5,123,146.2,1522.4,2119.2,1774.3,113,189.3,43.1,508.7,224
05-2009,7022,7147.4,593.2,424.7,691,1826,768.1,231.7,137.5,796.3,526.6,1117.8,125.1,154.9,1561.1,2199.2,1843.4,114.7,245.1,59.6,530.9,222.6
06-2009,7121.5,7186.8,568.3,427.1,689.4,1811.7,798.5,242.8,138.4,789.3,516.8,1125.6,137.7,154.8,1561.9,2205,1899.9,128.9,265.6,63.7,545,238
07-2009,7201.6,7044.5,571,428.1,697.7,1833.2,802.9,241,129.1,793.2,495,948,155,191.8,1582,2209.5,1956.4,113.5,275.7,63.3,536.8,223
08-2009,7191.1,7044.9,589,440.4,694.1,1772.5,780.7,244,136.7,817.7,484.4,969.8,147.1,189.6,1588.6,2208.6,1945.8,110.3,268.8,66.7,555.9,225.4
09-2009,6992.6,7074.2,594.2,444.5,669.3,1760.2,767.3,227.3,134.2,808.6,517.5,1113.6,111.7,155.8,1503.7,2160.6,1914,128.7,237.8,50.4,543.1,224.6
10-2009,7002.6,7047.6,606.5,449.5,649.1,1771,793.9,225.9,130.7,805.9,539.1,1118.4,121.9,165,1496.8,2119.6,1906.1,127.6,208.7,43.4,549.8,221.2
11-2009,6965.4,7112.4,617.8,440,650.7,1753.8,815.2,240.8,139.9,828.1,525.6,1158.6,127.8,170.2,1510.5,2136.1,1859.8,121.9,185.9,35.1,532.1,227.9
12-2009,6894.2,7091.2,619.1,434.3,634.8,1758.1,815.7,237.9,130.6,813.3,534.8,1157.9,107.7,168.3,1558.2,2162.7,1790.7,121.5,168,32.1,534.4,205.1
01-2010,6744.9,7047.7,604.4,428.5,659.7,1773.2,797.3,245,130.9,815.2,526.8,1143.6,119.6,166.7,1525.5,2116.1,1699.4,116.7,158.3,30.2,523.2,212.4
02-2010,6804.8,7069.5,603.3,433,635.6,1791,822.6,243.8,127.5,812.1,530.2,1144.1,135.1,171.6,1542,2107.4,1708.8,120,164.2,31.3,535.5,215.3
03-2010,6787.9,7076.8,604.5,438.5,637.5,1794.7,832.4,244.9,143.7,812.5,513.7,1146,120.4,158.9,1537.7,2126.4,1707.6,123.3,152.3,31.5,538.1,200.1
04-2010,6915.1,7112.6,593.6,441.4,661.6,1806,807,238.6,140.9,806.5,531.4,1141.9,127.8,158.6,1575.6,2158.8,1770.1,126.7,171.4,37.5,535.8,196.5
05-2010,7167.1,7246,605.3,439.6,672.2,1844.9,831.6,241.6,143.2,809.3,524.8,1125.5,128.3,162.5,1582,2241.7,1895.3,131.9,233.3,51.8,551.1,197.2
06-2010,7330.6,7363.7,603.2,432.3,678.1,1849.7,838,247,153.1,832.6,517.8,1151.7,137.2,173.5,1609.6,2278.6,1960.5,130.4,258.3,59.5,574.9,208.5
07-2010,7385.9,7213.9,609.4,433.6,682.2,1834.9,827.6,238.4,152.5,832.5,518.1,981.6,174,195.5,1573.8,2299.8,1998.8,114.7,285.7,65.4,563.9,217.6
08-2010,7389.2,7184.1,596.2,428.5,692.1,1857.9,819.8,241.1,148.2,836.4,503.3,970.9,167.9,187,1593.9,2274.5,2011.5,110.8,286.8,55.8,569.5,221.1
09-2010,7228,7166,586.3,434.9,661.5,1809.5,818.4,232.2,139.8,812.7,531.5,1120.2,138.5,162.1,1565.3,2228.3,1969.3,112,258.9,40.2,558.6,213.9
10-2010,7212,7205.3,583.6,403.2,655.9,1788.3,803.6,237.9,132.3,823.9,527.7,1166.2,136.5,164,1574.1,2233.6,1982.4,124.2,250.1,41.8,565.7,222.1
11-2010,7181.3,7194.1,597.3,408.8,711.2,1788,795.5,250.8,139.6,831.7,525,1152.7,138.2,164.4,1538.8,2238.8,1960.3,116.4,219.6,32.5,555.9,209.9
12-2010,7139,7227.2,588.9,412.1,702.9,1798,817,245.5,132,831.6,524.4,1183.9,128.6,169.2,1578.3,2230.6,1933.7,113.2,196.9,26.9,536.2,216.2
01-2011,6999.5,7152.6,597.2,407.7,716.2,1801.9,788.6,241.3,129.6,856.8,521.3,1143.6,121.8,170.1,1585.1,2166.8,1815.7,107.3,187.3,31.6,536.9,225.7
02-2011,7022.4,7193.5,593.8,405.4,694.3,1840.2,812.7,243.3,132.4,853.9,516.1,1142,131.5,166.7,1579.2,2171.4,1859.8,117.2,172.9,32,529.6,221.3
03-2011,7009.5,7197.7,588.1,401.7,696.8,1848.5,832,245.9,129.9,843.9,530.2,1131.6,135.6,158.3,1580.5,2188.2,1824.3,117.8,165.2,38.3,527,223.5
04-2011,7122.7,7209.3,600.2,426.3,707,1862.8,834.3,240.2,137,854.3,529.5,1136.2,141.1,166.3,1604.4,2144.5,1859.8,113.1,182.4,39.3,527,226.4
05-2011,7368.6,7337.2,587.7,403.1,715,1855.8,824.8,238,143.3,866.8,502.3,1165.8,146.8,166.3,1654,2209.5,1990.7,127.3,238.3,66.4,565.7,238
06-2011,7529,7405,568.5,424.9,740,1839.5,861.2,254,147,884.7,516,1134.6,152.4,184.6,1653.7,2238.2,2044.8,138.1,276.7,69.3,568.9,237
07-2011,7600.7,7280.5,569.8,431.6,729.4,1825.7,861,257.8,149.5,879.5,483.5,974.4,169.6,208.4,1643.8,2268.6,2124,135.9,288.6,65.1,581.6,233.5
08-2011,7581,7279.9,564.1,425.8,748.4,1833.9,872.4,265.8,136.2,887.6,486.4,988.1,163,209.6,1640.9,2232.4,2072.7,121.8,302.8,59.3,594.1,255.5
09-2011,7432.3,7244.6,561.5,435.1,741.6,1805.1,840.3,245.2,138.8,879.7,538.4,1089.8,128.5,165.4,1585.7,2218.2,2063.9,123,264,52.4,569.6,230.7
10-2011,7385.1,7243.4,564,420.4,752.2,1783.8,826.2,253.1,140.3,879.5,536.4,1131.7,122.9,184.3,1555,2184.1,2068.9,134.5,248.2,42.7,571,229.5
11-2011,7342.4,7249.7,563.8,430.9,749,1782.7,850.1,242.9,137.2,879.9,545.4,1128.8,136.6,203,1517.4,2189,2061.2,130,215.5,32.5,566.1,230.1
12-2011,7237.2,7279.6,571.6,427.4,731,1779.3,836.4,236,134.7,889.3,537.9,1138.6,132.1,184.5,1533.2,2244.8,2010.1,116.6,191.7,27.3,558.4,235.9
01-2012,7057,7203,583.8,421.1,697.6,1794.6,832.6,246.9,140.4,882.4,532,1136.4,128.9,170.9,1545.8,2201.8,1883.1,117.4,187.4,28.1,525.5,203.5
02-2012,7116.4,7235.5,575.1,400.4,701.3,1792.9,836.4,232,137.2,882.6,540,1167.5,131.6,170.4,1571.7,2234.5,1908,114.3,171.5,31,543.6,209.8
03-2012,7148.7,7259.3,592.7,390.3,681.4,1823.6,822.5,236.9,136.9,888.8,542.1,1147.6,115.6,188.8,1616,2206.7,1929.5,126.7,174.5,29.6,537.4,220.3
04-2012,7295,7319.1,585.3,399.5,676,1811.2,820.9,240.6,146.8,886.3,543.1,1166.7,105.2,181,1663.2,2247.2,2002.6,122.8,196.2,47.8,555.8,215.9
05-2012,7497.8,7411,585.9,417.9,668.9,1821.9,838.9,247,148,884.1,534.4,1179.5,105.3,175.8,1702.6,2267.5,2093.5,136,249.5,59.2,570.9,222.2
06-2012,7569,7499.6,579.9,438.3,706.2,1864.8,873.2,241.1,145.8,895.3,542.8,1208.4,116.6,178.5,1681.6,2246.4,2088.3,143.4,257.2,65.8,577.3,217.6
07-2012,7670.4,7370.2,578,449,734.1,1840.8,864.6,260,152.4,899.1,509.3,1024.3,146.5,220.2,1657.5,2246.1,2154.3,122.4,284.8,72.7,589.1,235.6
08-2012,7693.3,7384.1,607.9,446.8,716.9,1853.5,882.8,263.7,151.3,889.7,505.2,1042.1,136.6,204.8,1666.5,2246.3,2148.2,125.3,279.4,70.8,598.6,241.1
09-2012,7513.9,7364,596,448.5,708.4,1815,843.8,266,140.2,888.3,558.7,1167.7,115.9,159.2,1589.6,2204.5,2151,135.5,249.5,48.9,560.9,230.4
10-2012,7451.9,7402.8,598.5,448.1,698.3,1834.4,835.8,263.8,147.7,870.3,559.3,1214.6,121.4,168.5,1592.1,2193,2104.3,136.3,226.5,48.1,568,225.8
11-2012,7401.2,7426.7,612.8,433.4,697.4,1847.5,836.5,272.7,137.5,883.2,541.7,1221.6,129.2,174.5,1569.6,2194.6,2081.1,133.4,218.8,40.3,576.5,225.7
12-2012,7381,7449.6,624.7,416.6,697.3,1826.3,846.5,287.4,131.9,896.3,540.7,1237.2,130.3,174.2,1606,2215.8,2036.6,134,205.8,42.3,561.3,219.5
01-2013,7213,7392.9,597.5,420.9,698.1,1836.1,875.2,271.3,137.6,896.8,533.3,1216.6,135.4,175.9,1584.1,2189.9,1939.7,141.2,183.1,32.3,528.9,211.9
02-2013,7268.5,7400.1,601.4,402.3,714,1882.3,863.5,272.1,136.1,895.2,545,1203.7,128.2,184.4,1628.2,2190,1914.7,130.9,190.7,36.8,546.7,202.4
03-2013,7231.9,7359.8,592.5,395.5,709.7,1883.7,863.3,262.2,133.2,900.3,538.9,1205.3,129.8,177.3,1618.4,2172,1903.5,132.4,188.1,38.7,554.4,192.6
04-2013,7303.9,7404.1,602.3,399.9,696.2,1876.3,860.9,271,141.6,878.7,563.1,1236.7,115,177.2,1622.6,2187.5,1920.8,143.4,201,44.9,580.5,188.6
05-2013,7604.8,7494.1,592.6,378.2,703.5,1859,886.4,281.7,152.9,889.9,543.7,1237.4,122.2,179.5,1703.4,2263.6,2036.8,149.3,260.7,59.9,602.6,195.6
06-2013,7709.3,7565,577.3,379.1,716,1839.3,882.7,281.6,168.5,892.1,549.6,1243.9,142.4,201.1,1709.9,2295.1,2078.6,153.9,278.5,67.2,605.8,211.4
07-2013,7759.1,7445.6,576,374.2,683.5,1867.5,851,289.3,161.8,885.7,496.2,1052,154.5,225.2,1759.1,2312.6,2142.5,139.5,304.1,73.8,630.2,225.7
08-2013,7781.5,7429.6,581.5,363.6,674,1867,852.4,287.4,158.7,890.3,496.7,1050,153.8,219.4,1749.6,2315.5,2180.7,147.7,308.7,67.4,625.4,221.3
09-2013,7629.2,7450,568.8,390,681.7,1824.2,856.3,283.9,166.4,883.1,533.1,1188.9,141.6,171.8,1704.1,2284.8,2114.3,146.6,275.4,52.6,587.4,224.2
10-2013,7606.8,7467.2,564.2,377,688.5,1849.4,881.2,280.8,158.9,896.3,544.1,1216.7,141.2,184,1703.6,2273.9,2092.9,143.4,261,42.6,571.3,203.2
11-2013,7561.7,7480.1,563.1,392.9,694.1,1847.4,895,264.4,152.9,883.5,555.6,1233.1,137.6,174.7,1680.2,2289.6,2082.6,140,236,35.9,564.4,218.6
12-2013,7469.9,7499.1,567.1,395.9,685,1863,892.8,253.8,149.3,892.6,546.7,1226.5,132.2,179.2,1726.3,2292.9,2004,139.7,217.7,30.9,548.7,224.5
01-2014,7345.9,7397.6,585.3,401.5,716.6,1866.8,880.5,240.9,159.3,881.3,525,1237.3,132.5,184.5,1679.4,2215.8,1927.5,136.5,204.6,27.7,535.4,205.2
02-2014,7359.3,7433,585.3,392.4,733.2,1875.7,895.9,247.3,170.9,890.9,515.3,1229.9,130.8,186,1643.7,2240.1,1917.7,128,215.3,31.1,551.3,211.5
03-2014,7363.2,7427.1,585.1,376.7,733.5,1877.6,895.2,258.6,168.3,887.3,509.2,1236.6,126.4,195,1674,2222.9,1911.4,123.4,200.3,39.3,559.9,209.6
04-2014,7389.1,7439,579.1,374.7,721.1,1856.5,898.4,255,170.3,906.8,501,1240.8,128.6,182,1656.9,2243.8,1945.9,114.9,218,51.4,569.7,213.1
05-2014,7644.4,7549.6,567.5,374.5,698.2,1823.9,923.1,279.5,167.8,916.7,511.3,1241.8,132.7,182.6,1726.4,2306.2,2061.1,129.4,267.6,74.6,588.7,220.3
06-2014,7729.5,7646.2,562,385.7,708.2,1828,945.8,291.1,165.6,911.8,497.2,1247,145.8,196,1726.2,2343.6,2100.1,140.7,284.8,76.1,593.8,226.2
07-2014,7834.7,7524.7,544.1,360.7,695.5,1846.8,965,299.9,167.6,939.1,479.6,1079.8,170.6,212,1766.4,2356.1,2139,127.6,302.3,74.6,604.5,228.1
08-2014,7822.3,7457,534.2,349,711,1825,915.7,295.6,148.6,903.4,490.5,1084.3,172.8,215.2,1784.4,2366.8,2158.2,119.7,299.7,71.8,607.2,226.2
09-2014,7729.7,7464.9,567.2,355.5,709.2,1830.7,898.3,284.2,154.7,902.5,510.7,1233.2,143.1,179.3,1738.6,2269.8,2136.9,131.5,269.5,55.5,601.4,222.7
10-2014,7692.6,7495.9,545.5,368.4,754.3,1829.2,902.4,284.3,150.8,886.6,526.5,1257.6,139.8,189.4,1735.4,2278.8,2097.3,133.2,257.4,48.7,583.1,219.8
11-2014,7626.1,7487.5,540,357.1,759.5,1861.8,912,286.9,151.5,888.6,538.9,1260.8,141.7,169.9,1711.5,2270.7,2061.7,134.7,237.8,46.7,571.6,210.5
12-2014,7587.8,7475.8,535.2,360.9,751.8,1848.8,915.1,276.6,153.1,856,551.9,1272.2,135,175.6,1717.3,2309,2018.6,134.8,222.6,46,587.3,196.1
01-2015,7408.2,7397.9,534.2,360.3,783.4,1853.9,862.9,288.5,152.3,856.2,555.4,1264.1,138,186.6,1666.3,2219.5,1948.9,138.3,193,39.9,573.6,190.7
02-2015,7415.6,7429.1,529.2,368.5,760.4,1868.2,867.1,289.5,161.2,862.2,570.1,1275.7,143.5,164.1,1696.4,2240.8,1938.2,133.1,183.8,37,565.7,189.9
03-2015,7403.3,7448.5,533.6,375.4,730,1847.5,880,276.1,176.2,877.1,586.8,1287.3,151.4,161.5,1694.9,2258.8,1919.9,128.8,173.6,39.7,556.8,196.2
04-2015,7492.2,7458.8,557.9,386.5,719,1832.4,891.1,289.7,185.9,884.6,576.9,1281.5,150.1,156.1,1684.9,2224.7,1957.4,147.1,195.4,46.4,573.5,209.8
05-2015,7776,7573.8,555.3,375,748.4,1836.4,911,298.7,182.3,909.2,572.6,1288,147.7,175.2,1727.5,2256.7,2072.3,152.3,261.6,57.8,597.4,224.3
06-2015,7897.7,7656.9,572.1,385.2,779.3,1842.7,935.4,305.9,194,936.5,560.5,1298.9,155.2,170.6,1740.2,2270.7,2125,151,271.2,64.8,564.8,230.6
07-2015,7947.9,7514.7,573.7,391.1,765.5,1838.3,979.2,312.1,196.8,931.5,534.4,1121.3,177,213.6,1757,2289.3,2095.5,127.2,285.8,65,583,225.3
08-2015,7976.3,7492.7,587,396.8,780.4,1856.4,968.1,308.3,193.2,953.5,530.1,1101.3,186.1,212.8,1767.8,2229,2095.1,136.9,278.6,62.7,590,235.1
09-2015,7792.7,7490.6,588.8,403.3,769.6,1811.2,953.3,300.9,189.1,945.8,578.3,1200.8,144.6,164.9,1692.9,2262.4,2048.1,134.3,258.2,58.4,569.8,208.6
10-2015,7778.8,7551.4,582.2,377.3,757.5,1868.7,965.9,289.9,171.7,934.8,601.7,1226.8,137.9,177.2,1678.8,2281.4,2079.1,132.8,239.7,51.2,564.4,211.3
11-2015,7680.6,7528.2,612.8,390,735.2,1857,961.3,308.9,167.6,931.9,576.2,1245.8,145.1,164.7,1671.8,2252.1,2042,127.1,207.6,46.6,561.1,204.3
12-2015,7591.7,7537.6,573.5,386.5,740.8,1855.5,978.3,287,151.8,962.2,588.1,1257.9,149.3,163,1688.6,2262.2,1958.3,118.4,191.6,35.7,571.4,209.2
01-2016,7427.7,7460.8,582.9,397.7,702.4,1857.4,963.7,280.8,159.1,969.5,579.8,1262.3,143,168.4,1687.8,2164.6,1855.9,122.6,182.3,31.3,570.8,206.2
02-2016,7443.3,7479.8,553.6,377.7,731.3,1870.3,969.7,291.2,153.1,963.7,583.4,1256.5,144.1,176.4,1703.7,2161.6,1840.7,139,186.8,35.9,577,207.5
03-2016,7471.2,7501.7,529.2,366.1,752.6,1882.1,979.1,289.1,164.6,995.5,575.6,1271.8,141.9,164.9,1740.9,2145.2,1857.3,140.2,182.8,40.9,547.2,206
04-2016,7524.4,7541.2,539.8,367.5,749,1851.9,962.6,302.7,168,970.9,568.8,1319.4,140.9,167.4,1756.2,2169.7,1884.8,140.3,193.1,46.9,561.1,204.5
05-2016,7802.4,7687.1,565.7,370.5,762.4,1870.7,971.6,300.3,168.3,973.3,584.2,1333.7,139.5,182.3,1783.4,2212.6,1963.6,149.1,266.7,64.1,596.9,230.5
06-2016,7847.9,7757.5,560.6,379.8,755.9,1876.1,955.5,306.3,165.6,981,596.9,1329.5,138.7,175.3,1775.4,2265.9,2035.1,147.5,271,61.1,593.3,235
07-2016,7907.6,7607.6,584.5,370.1,771.7,1867.5,938.2,319,172.5,978.4,554.8,1145.4,170.4,227.1,1780.6,2259.9,2077.8,129.7,271.1,65.4,586,245
08-2016,7932.2,7613.9,564.9,379,788.5,1860.1,936.8,291.7,174,998.1,527.6,1148.3,173.6,221,1833.3,2281.3,2072.4,128,269.1,64.6,591.8,241.7
09-2016,7780.9,7626.2,584.3,394.1,725.6,1860.6,897.8,288.3,166.8,964.5,562.2,1296.9,142.3,175.4,1768.3,2238.9,2091.4,130.3,249.6,49.8,592.6,227.4
10-2016,7783.3,7681.5,582.2,372.6,754.8,1869.7,888.2,291.2,165.5,982.4,587,1322.8,142.9,189.9,1760.9,2223.5,2069.1,154.4,244,48.2,588.8,226.9
11-2016,7749.3,7673.5,574.1,387.4,744.6,1884.2,916.3,286.6,169.3,967.1,570.2,1293.2,162.8,188.5,1816.7,2245.7,2001.8,151.4,219.3,41.1,574.1,228.4
12-2016,7709.6,7711.2,594.7,392.1,745.9,1904.6,912,289.6,170.5,964,570.3,1293.2,157.2,188.3,1812.4,2266.2,1968.2,147.9,195.7,36.5,582.6,228.8
