Date,Total-Males,Total-Females,Management-Males,Management-Females,Business-Males,Business-Females,Natural-Males,Natural-Females,Health-Males,Health-Females,Government-Males,Government-Females,Art-Males,Art-Females,Sales-Males,Sales-Females,Trades-Males,Trades-Females,Resources-Males,Resources-Females,Manufacturing-Males,Manufacturing-Females
09-1999,6334.3,5807.6,579.2,339.5,573.6,1576.4,646.2,192.2,104.2,549.4,442.7,765.1,101.4,129.3,1239.6,1753.4,1682.5,91.5,228,49.9,736.8,360.9
10-1999,6338.2,5828.5,588.2,344.3,579.8,1586.6,630.6,200.6,100.3,561,446.2,779.5,118.2,131.5,1244.5,1721.7,1672.9,95.2,206.4,47.5,751.1,360.7
11-1999,6279.6,5823.4,587.2,356.6,572,1583.6,613.1,196.8,102.8,560.6,449,799.7,106.6,126.6,1232.6,1728.5,1661.7,84.5,190.6,37.9,764,348.6
12-1999,6230.7,5834.6,574.4,352.8,580.1,1550.9,628.4,186.9,93.8,581.5,466.3,797.3,101.2,134.3,1259.8,1763.2,1623,81.7,164.4,33.3,739.3,352.8
01-2000,6079,5727,596.3,356.6,562.8,1525.3,622.9,180.5,92.5,579.3,457,804,103.6,133.5,1229.1,1701.1,1540.3,85.3,145.1,28.3,729.5,333.2
02-2000,6127.4,5776.9,593.8,362,560.3,1536.9,644.4,173.3,94.5,583.9,445,803.2,104.4,130.9,1241,1727.3,1574.2,92.6,152.5,28.9,717.3,338
03-2000,6163.4,5816.5,586.8,364.3,565.2,1571.8,665.8,181.1,97.8,584.1,449,800.1,110,121.1,1249.5,1744.3,1549.4,86,149.6,33.2,740.3,330.4
04-2000,6257.3,5873.1,600.9,359.6,568.1,1600.6,662.9,184.8,96.5,588.5,448.2,814.9,106.5,117.9,1274.5,1749.8,1596.2,88.7,162.2,38.8,741.3,329.5
05-2000,6491.1,5984.4,583.2,358.5,593.1,1587.6,685,190.8,100.3,588.2,437.3,825.7,97.8,118.9,1320.3,1812.8,1678.9,99.6,233,54,762.1,348.1
06-2000,6591.9,6072,587.5,356.2,605.7,1615.4,688.2,193,95.8,589.5,435.5,820,108.9,120.9,1339.3,1869.5,1696.9,99.4,252.2,63.7,781.7,344.4
07-2000,6715,6015.3,591.5,346.4,641.3,1644.7,699.1,194.2,97.2,586.2,428,727.6,116.4,157.6,1356,1852.3,1746.1,87.6,272.6,63.8,766.5,354.9
08-2000,6717.2,6011.6,604,367.5,639.1,1662.1,709.5,198.5,92.8,595.7,417.1,712.6,108,154.7,1338.5,1827.8,1750.7,77.9,280,65.4,777.5,349.3
09-2000,6553.3,5991.1,606.6,362.3,640.8,1606.8,692.8,197.2,88.2,594.2,448.6,790.9,91.5,126.9,1298.8,1817.4,1709.7,96,232.3,51.8,743.9,347.7
10-2000,6533.7,6034.9,599.2,355.7,640.4,1611.3,703.9,190.7,88.1,612.2,454.9,823.2,96.5,128.3,1288.4,1824.4,1681.9,98.5,221.8,46.6,758.7,344
11-2000,6476.5,6049.2,604.4,367.8,653.8,1616.1,703.2,190.4,85.6,582.5,457,834.3,93.3,137.9,1269.9,1834.6,1688,97.4,192.4,37.3,728.9,350.9
12-2000,6425.7,6066,604.2,358.6,639.9,1611.6,681.1,188.9,89.8,595.7,442.3,831.2,103.9,135.2,1318.9,1873.1,1640.3,97.2,168,34,737.4,340.4
01-2001,6279.8,5984.9,583.7,358.3,636.9,1602.4,679.4,184.8,90.4,597.9,430.3,848.1,105,134.4,1306,1823.6,1565.9,93,164.6,28,717.7,314.3
02-2001,6300,6005.4,561.2,356.9,622,1607.1,672.3,185.3,96.5,595.8,448.3,870.4,119.9,135.4,1300.5,1814.5,1591.4,97.3,165.3,28.1,722.6,314.5
03-2001,6284,6048.3,538.4,344.5,626.7,1638.7,704.3,195.5,102.4,605.2,448,855.7,108.4,141.7,1291.8,1827.6,1567.9,93.7,161.9,32.5,734.3,313.3
04-2001,6364,6067.4,514,336.9,639.8,1651.4,711.6,190.1,105.1,603.5,448.7,859.6,114.2,140.9,1312.6,1836.4,1608.5,106.7,180.3,37.5,729.4,304.6
05-2001,6585.5,6197.4,521.9,334.5,654.5,1663.8,723.3,201.2,107.1,619.5,454.5,871.5,114.4,151.4,1352,1872.4,1693.6,109.8,218.6,51,745.6,322.3
06-2001,6697.1,6239,513.8,340.4,664.8,1656,736.7,202.2,101.9,631.7,469.3,846.3,116.2,154.8,1383.2,1909.3,1716.3,112.3,242.4,53.4,752.5,332.8
07-2001,6791.1,6209.2,520.1,331.2,665.1,1658.9,736.8,195.6,104.9,627.2,438.1,762.2,135.5,180.3,1418.4,1954.6,1726.2,97,269.5,63.9,776.6,338.2
08-2001,6775.3,6203.8,522.4,337.6,656,1668,706.4,199.6,111.5,636.2,441.1,739.3,131.7,166.5,1416.1,1948.9,1739.8,97.8,268.2,62.7,782.1,347.1
09-2001,6597.8,6158.7,537.7,321.3,636.1,1647.5,677.9,195.9,104.3,627.5,455.6,833.4,108.3,140.9,1383.7,1893,1715.3,105.2,230.9,48.5,748.1,345.7
10-2001,6600.6,6161.1,548.7,317.3,634.5,1664.7,668.9,195.6,103.8,612.7,455.1,849.8,114.9,145.9,1410,1892.4,1704.9,99.3,209.7,41.1,750.2,342.3
11-2001,6520.4,6159.5,569.7,319.7,628.9,1684.2,674.5,191.8,101.4,619.3,449.2,851.2,108.1,137.6,1384.2,1898,1674.6,94.6,193.6,35,736.3,328
12-2001,6446.5,6176.4,570.9,315.4,609.8,1689.9,675.1,198.5,100.1,613.4,445.5,869,107.5,131.9,1396.6,1915.5,1624.7,91.1,170.2,30.8,746,321
01-2002,6309.3,6117.8,572.4,324.3,619.5,1696.9,668.1,196.1,99.8,622.4,452.6,859.4,113.1,138.5,1351.8,1850.2,1554.4,88.7,148.4,26.8,729.2,314.5
02-2002,6373.1,6121.5,584.8,322.4,648.2,1694,660.3,196,104.3,629,449.8,858.5,119.1,135.6,1364.3,1849.1,1564.7,87.5,148.3,24.9,729.2,324.4
03-2002,6450.6,6144,582,335,661,1669.8,674.5,199.3,101.1,635.1,462.6,852.2,118.6,138.7,1376.8,1861.6,1590.7,91.8,151.8,33.9,731.3,326.6
04-2002,6488.8,6195.1,579,322.5,668.7,1666.1,665.4,187.5,103.3,656.6,450,861.6,111.1,130.1,1380.6,1902.7,1591.6,96.3,176.6,38.2,762.6,333.5
05-2002,6715.8,6313.2,577.4,318.3,666.4,1658.8,679.3,184.2,104.9,667.2,448.8,884.7,106.7,134,1429.1,1944.8,1713.8,106.7,215.1,53.8,774.5,360.7
06-2002,6852.9,6398.2,566.8,324.3,655.1,1668.2,714,189.4,111.6,685.1,447.2,864.4,109.4,136.5,1431.1,2009.5,1782.7,98.9,239.1,57.4,795.9,364.5
07-2002,6957.5,6365.5,550,332,668.8,1646.5,749.4,206.7,108.9,684.1,424.8,773.5,129.9,159.6,1446.2,2026.9,1830,98.8,263.1,65.4,786.3,372
08-2002,6984.3,6408.6,563.7,318.4,656.3,1668.6,749,213.6,109.2,687.9,420.1,778.1,120,161.5,1432.1,2052.8,1835,101.5,270.3,58.2,828.6,368.1
09-2002,6804.8,6351,577.9,318.4,639,1647,714.9,215.6,102.7,672.1,443.7,858.2,106.7,128.3,1380.7,1984.8,1822.8,112.3,240.1,44.8,776.1,369.5
10-2002,6762.2,6344.3,543.6,309,637,1631.1,729.6,214.5,104.2,669.6,449.4,875.9,113.3,125.7,1391.6,1988.9,1807.9,117.9,217.9,44.7,767.7,367.1
11-2002,6700.4,6388.2,555.6,324.1,633.7,1667.4,713.1,214.3,108.8,663.8,448.4,884.6,117.3,131.8,1385.2,1992.9,1773.5,102.9,186.5,33.6,778.4,372.7
12-2002,6625.4,6430.4,561.1,327.7,619.7,1684.5,731.3,205,106.7,669.2,455.9,896.2,113.8,138.9,1373.2,2005.4,1721.9,107.8,168.8,34.1,773,361.7
01-2003,6496.1,6324.3,557.4,326.3,624.9,1674.7,703.6,201.9,100.7,680.3,462.8,902.9,124.7,145.4,1363.2,1922,1649.9,107.1,158.4,25.6,750.5,338
02-2003,6552.4,6368.5,561.3,335.4,643.5,1679.1,682.7,206.7,111.1,681.5,471.4,892.1,120.7,151.5,1380.9,1952.2,1637.7,102,167.6,28.9,775.6,339
03-2003,6578.1,6381.5,537.9,327.5,652.8,1670.3,675.7,207,104.8,684.4,466.4,906.4,121.1,142.7,1406.4,1978.6,1657.5,103.4,172.6,28.9,783,332.1
04-2003,6615.1,6396.4,544,336,642.8,1678.4,669.8,201.3,102.3,672.8,459,923.1,108.3,140.2,1444.4,1969.5,1674.9,106.9,184.6,38.8,784.8,329.4
05-2003,6810,6515.1,551.9,345.3,635,1691.5,668.6,218.4,101.4,683,471,922.1,113.4,145,1474.4,2002.3,1748.7,105.2,241,54.7,804.5,347.7
06-2003,6951.5,6619.3,540.9,350.5,637.7,1714.9,689.8,229.9,96.8,681.5,461.2,904.1,119.9,156.4,1485.4,2047.7,1838.2,113.1,268.1,59.3,813.5,361.7
07-2003,7028.2,6547.5,540.9,362,642.6,1724.2,711.8,245.8,101.1,676.9,443.2,794.6,142.3,175.7,1488.3,2014.3,1847.9,115.9,277.4,61.3,832.7,376.7
08-2003,6998.7,6513.6,538.7,368.6,645.6,1738,719.2,225.3,104.1,679.1,439.6,777,142.4,165.7,1457.3,2022.4,1859.5,109.4,277.5,59,814.9,369.1
09-2003,6852.7,6467.7,544.5,374.3,634.6,1722.3,695.7,203,108.6,654.3,459.4,878.8,123.3,136.8,1412.7,1985.1,1849.2,120.6,235,38.6,789.7,353.9
10-2003,6803.9,6537.7,565,382.9,612.9,1737.6,680.2,210.7,99.9,657.3,469.9,899.7,127,136.1,1420.7,2011.5,1816.4,115.9,205.9,40.4,805.9,345.5
11-2003,6769.9,6543.9,554.9,376.2,641.5,1749.9,688.2,200.8,106.5,667.4,461.2,894.8,123.7,142.5,1424.3,2015.3,1799.1,123.1,180.7,37.6,789.9,336.4
12-2003,6708.7,6603.7,582.9,379.3,641.9,1739.8,668.4,189.5,111.3,682.1,444.6,914.9,127.2,136,1423,2064.1,1791.6,114.9,151.3,31.9,766.4,351
01-2004,6579.2,6462.2,573.9,382.9,650.4,1724.3,672,201.2,117,664.9,443,893.7,126.5,143.8,1392.2,1981.2,1706.4,108.6,135.7,29.6,762.3,332
02-2004,6593.2,6522.2,590.7,384,641,1743.5,659.7,200.2,111.3,675.3,461.4,908.8,126.3,142.6,1400.3,1995.6,1680.7,114.1,150.9,28.3,771,329.9
03-2004,6614.1,6521.6,581.2,392.1,641.2,1775.2,665.2,197.3,117.3,680.3,451.6,882.3,117.7,134.4,1424,1979,1686.9,115.6,160.2,33.6,768.9,331.9
04-2004,6688.7,6541.7,594,375.3,656.5,1780.7,683.4,192.6,118.5,672.4,457.4,908.7,104.1,131.8,1414.1,1987.2,1706.5,119.4,179.5,40.5,774.7,333
05-2004,6865.1,6686,594.3,382.6,649.8,1790.6,697,202.6,115.2,682.2,455.4,924.6,100.1,134.4,1447,2020.3,1775,133.4,236.6,54.6,794.7,360.5
06-2004,7042.8,6770,602.7,399.5,655.8,1804.6,717.3,209.8,117.6,699.6,456.8,921.4,120.2,137.3,1462.1,2035,1825.3,142.9,271.4,59.7,813.5,360.2
07-2004,7115.5,6683.9,580.3,392.4,665,1805,717.6,210.2,105.4,695.7,438.2,790.8,133.1,165.8,1524.8,2062.8,1872.7,132.8,288.8,65.8,789.6,362.5
08-2004,7102.6,6625.1,570.5,379.3,683.6,1763.8,731.1,206.4,109.2,687.3,420.7,781.4,135.9,171.8,1505.1,2071.7,1863.1,124.8,294.2,62.3,789,376.4
09-2004,6951,6608,575.9,384.8,669.9,1711.9,731.1,199.5,119.1,690.3,440.8,911.7,117.4,138.8,1472.3,2014.7,1817.5,139.9,249.7,47.5,757.4,368.8
10-2004,6954.3,6615.5,576.8,379.8,656.9,1696,721.4,204.3,115.2,694.7,445.6,928.7,125.9,142.7,1447.6,2047.5,1829.6,123.8,232.8,45.7,802.4,352.3
11-2004,6867.1,6625.8,584.7,374.3,652.6,1713,707.9,198.9,108.6,714.4,475.9,932.5,122.6,141.8,1431.2,2041.6,1797.2,127.5,200,39.9,786.5,342
12-2004,6812.6,6664.1,593.6,354.4,648.6,1723.9,721.7,209.2,100.1,705,476.9,935.9,122,137.6,1484.9,2101.4,1737.6,132.3,181.8,34.9,745.4,329.5
01-2005,6650.2,6557.3,580.3,349.3,620.7,1730.6,733.6,220.7,108.1,703.1,464.6,899.4,124.1,152.6,1416.3,2039.9,1668.5,120.1,169.2,30,764.9,311.5
02-2005,6679.6,6586.7,572.1,356.3,642.5,1773.7,715.5,205,108.9,713.9,488.1,918.1,134.8,140.2,1440.2,2001,1675,122.2,168.9,40.3,733.7,316
03-2005,6703.4,6573.7,566.5,338.4,638.6,1762.2,719.1,204.1,104.7,725,489.4,904.7,128.4,154,1435.8,2027.3,1698.8,116.8,172.8,43.8,749.2,297.3
04-2005,6744.2,6611.4,570.3,364.8,645.5,1744.4,744.3,202.2,99.2,704.7,489.6,945.3,123.2,157.3,1440.4,2023.3,1706.4,116.2,187.2,47.2,738,305.9
05-2005,7012.6,6721.3,554.7,377.5,629.2,1741.8,767.4,212.5,104.8,702.3,469.9,961.2,127.3,165.6,1491,2056.1,1866.8,112.1,257,60.5,744.5,331.6
06-2005,7121.9,6796.6,569.3,394,664.9,1763.8,742,216.4,116,733.4,472.6,951.6,126.1,163,1484.1,2057.5,1904.6,115.9,277.7,70.2,764.6,330.6
07-2005,7211.8,6747.1,587.1,399.9,668.7,1772.6,761.4,199.4,117.6,763,448.6,833.3,148.7,179.8,1488.8,2088.7,1913.8,110,311.4,75.1,765.7,325.5
08-2005,7195.2,6726.1,604.5,393,654.9,1782.9,779.9,199.9,119.6,740.7,438.4,832.6,146.7,181.8,1454.5,2090.3,1935.9,105.4,286.3,69.3,774.6,330.1
09-2005,6995.1,6661.2,586,391.3,631,1739.8,751.3,195.2,116.1,736.4,472.2,947.2,129.5,137.6,1432.4,2026.3,1897.8,101.3,241,45.6,737.6,340.6
10-2005,6996,6705.4,593.9,419.4,623.2,1742.6,733.1,209.6,122.2,728.4,482.4,967.7,140.3,142.8,1440.1,2020.3,1892.5,98.4,238.6,47,729.8,329.2
11-2005,6945.3,6720.1,599.7,404.7,614.5,1728.4,742.3,214,113.3,727.7,494.3,977.8,137,157.5,1450.3,2051.2,1881.9,115.4,194.6,33.8,717.3,309.6
12-2005,6893,6723.6,605.7,407.4,645.2,1751.1,745,207.3,111.6,709.2,489.9,968.7,134,157.7,1474,2067.1,1799.5,114.1,183.1,33.7,705.1,307.3
01-2006,6694.9,6659.5,615.5,413.4,652.1,1729.3,714.6,202.8,108.4,721,497.4,965.6,147.1,156.7,1425.9,2043.9,1704.7,109.9,170.8,29.5,658.5,287.3
02-2006,6750.7,6678.7,596.9,408.6,651.9,1720.5,742.3,220.1,116.9,724.9,512.7,974,144.2,157.1,1424.1,2020.9,1724.4,111.8,170.9,34.8,666.4,305.9
03-2006,6834.6,6689.8,622.6,403.8,651.1,1716.6,719.4,210.1,115.7,728.2,519.6,973.4,150,158.5,1418.5,2047.2,1781.9,117.8,178.3,40.6,677.5,293.7
04-2006,6866,6717.7,624.9,391,637.5,1713,745.9,219.7,118.4,741.5,501.7,971.6,126,147.4,1429.7,2072.8,1788.3,116.4,201.9,47.5,691.8,296.8
05-2006,7168.1,6909.5,637.7,381.9,659.2,1764.4,791.9,227.5,114,747.7,494.5,1002,138.5,155.4,1463.3,2124,1876.7,127.6,275.6,64.7,716.7,314.4
06-2006,7292.9,6987.3,639.9,387.6,671.6,1757.5,773.4,241.4,114.4,753.6,495.2,1011.1,138.8,158.6,1517.2,2149.2,1936.7,129.3,299.7,74.2,705.9,324.7
07-2006,7374.4,6910.9,628.3,376.4,687.2,1753.5,788.2,246.4,121.8,762.2,452.5,887.6,144.9,189.7,1546.1,2192.1,1975.7,117.1,304.3,76.7,725.4,309
08-2006,7348.8,6851.6,655.8,388.3,689,1754.1,763.3,231,120.3,747.6,459.8,878,135.3,188,1513.2,2162,1973.7,113.6,302.1,77.4,736.3,311.6
09-2006,7150.6,6829.1,635.6,387.5,681.6,1771.8,770.5,234.6,115,733.2,474,977.2,116.7,150.3,1482.8,2089.3,1894.4,119.6,268.4,61.8,711.6,303.9
10-2006,7156.4,6895.5,634,403.7,678.3,1758.3,753.3,236.3,116.7,727.4,501.6,1003.1,124.1,150.6,1542.5,2128.2,1880.2,117.8,240,54.4,685.8,315.8
11-2006,7097,6895,597.6,396,676.6,1757.2,778.7,233.2,126.3,728.6,499.8,995.8,124.5,150.8,1531.3,2165.5,1871.7,114.3,210,45.5,680.7,308.2
12-2006,7013.4,6934.3,584.2,410.2,633.4,1745.8,775.6,235.5,120.1,730.3,505.2,1016.6,121.1,160.5,1555.4,2167.4,1842.8,113.8,198.8,40.7,676.9,313.3
01-2007,6877.6,6865.4,600.8,413.5,625.4,1718.1,774,235.1,124.5,721.7,526,1020,110.3,162.7,1526.6,2111.9,1744.1,126.7,191.9,41.4,654,314.2
02-2007,6878.5,6912.8,601.6,405.9,632.6,1728.8,774.3,237.5,122.2,739.5,512.1,1041.2,109.6,168.2,1520.8,2131.5,1765,122.5,187.9,36.3,652.5,301.5
03-2007,6889.8,6975,587.3,403.9,639.3,1745.9,767.1,237.8,118.7,748.2,512.2,1029.1,107.3,168,1545.8,2181.1,1772.8,117.7,174.7,39.3,664.5,304
