Year,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,NfLInf,PriInf,NovInf,NBInf,QueInf,OntInf,ManInf,SasInf,AlbInf,BCInf
1981,168,22,891,910,2811,1132,189,253,367,291,1360.044,178.101,7213.0905,7366.905,22756.4505,9164.106,1530.0495,2048.1615,2971.0485,2355.7905
1982,164,28,471,528,1616,1106,224,457,1089,304,1302.7832,222.4264,3741.5298,4194.3264,12837.1808,8785.8428,1779.4112,3630.3166,8650.7982,2414.9152
1983,109,29,353,187,1149,1231,254,770,1720,284,849.9275,226.1275,2752.5175,1458.1325,8959.3275,9598.7225,1980.565,6004.075,13411.7,2214.49
1984,106,31,316,210,1203,1205,318,1153,2510,329,816.518,238.793,2434.148,1617.63,9266.709,9282.115,2449.554,8881.559,19334.53,2534.287
1985,116,49,234,176,1106,1413,421,1181,1999,336,867.274,366.3485,1749.501,1315.864,8269.009,10564.2945,3147.6065,8829.7465,14945.5235,2512.104
1986,95,40,149,105,681,1279,622,1487,1023,256,686.052,288.864,1076.0184,758.268,4917.9096,9236.4264,4491.8352,10738.5192,7387.6968,1848.7296
1987,102,34,148,116,812,1386,685,1613,1058,302,708.4308,236.1436,1027.9192,805.6664,5639.6648,9626.3244,4757.599,11202.9302,7348.2332,2097.5108
1988,96,31,137,102,736,1367,555,1251,798,278,635.5008,205.2138,906.9126,675.2196,4872.1728,9049.2666,3673.989,8281.3698,5282.6004,1840.3044
1989,101,36,142,104,785,1354,369,697,700,284,645.0769,229.9284,906.9398,664.2376,5013.7165,8647.8626,2356.7661,4451.6693,4470.83,1813.8796
1990,187,75,200,137,763,1146,295,654,561,270,1165.0848,467.28,1246.08,853.5648,4753.7952,7140.0384,1837.968,4074.6816,3495.2544,1682.208
1991,130,56,182,162,1187,1956,500,868,900,652,779.389,335.7368,1091.1446,971.2386,7116.4211,11726.8068,2997.65,5203.9204,5395.77,3908.9356
1992,104,68,169,140,526,1384,396,748,545,473,592.7584,387.5728,963.2324,797.944,2997.9896,7888.2464,2257.0416,4263.3008,3106.282,2695.9108
1993,98,58,149,120,572,1099,284,526,255,393,510.482,302.122,776.141,625.08,2979.548,5724.691,1479.356,2739.934,1328.295,2047.137
1994,90,50,146,117,531,1034,281,510,269,379,419.013,232.785,679.7322,544.7169,2472.1767,4813.9938,1308.2517,2374.407,1252.3833,1764.5103
1995,82,64,137,104,547,1100,230,398,225,346,346.2532,270.2464,578.4962,439.1504,2309.7622,4644.86,971.198,1680.5948,950.085,1461.0196
1996,106,56,103,111,582,1177,217,226,224,371,423.6714,223.8264,411.6807,443.6559,2326.1958,4704.3513,867.3273,903.2994,895.3056,1482.8499
1997,166,65,193,142,802,1383,255,354,328,421,608.0248,238.082,706.9204,520.1176,2937.5656,5065.6524,934.014,1296.6312,1201.3984,1542.0388
1998,137,47,203,111,741,1349,212,327,370,318,460.6488,158.0328,682.5672,373.2264,2491.5384,4535.8776,712.8288,1099.5048,1244.088,1069.2432
1999,85,49,227,85,732,1208,266,420,227,271,260.95,150.43,696.89,260.95,2247.24,3708.56,816.62,1289.4,696.89,831.97
2000,90,53,253,82,549,1097,272,535,275,320,248.67,146.439,699.039,226.566,1516.887,3031.011,751.536,1478.205,759.825,884.16
2001,102,79,190,78,537,1165,253,524,435,313,251.2464,194.5928,468.008,192.1296,1322.7384,2869.628,623.1896,1290.7168,1071.492,770.9816
2002,104,50,177,64,468,915,177,503,242,256,233.5424,112.28,397.4712,143.7184,1050.9408,2054.724,397.4712,1129.5368,543.4352,574.8736
2003,100,58,188,80,764,1147,338,760,470,393,215.06,124.7348,404.3128,172.048,1643.0584,2466.7382,726.9028,1634.456,1010.782,845.1858
2004,113,63,207,100,727,1231,457,978,741,459,233.91,130.41,428.49,207,1504.89,2548.17,945.99,2024.46,1533.87,950.13
2005,110,55,217,103,661,1171,541,998,596,425,219.142,109.571,432.3074,205.1966,1316.8442,2332.8662,1077.7802,1988.2156,1187.3512,846.685
2006,122,47,218,93,678,914,475,935,390,414,232.471,89.5585,415.399,177.2115,1291.929,1741.627,905.1125,1781.6425,743.145,788.877
2007,108,44,207,82,671,959,373,524,294,370,197.5104,80.4672,378.5616,149.9616,1227.1248,1753.8192,682.1424,958.2912,537.6672,676.656
2008,111,42,219,75,835,1284,230,292,311,374,195.138,73.836,385.002,131.85,1467.93,2257.272,404.34,513.336,546.738,657.492
2009,136,51,186,96,969,1646,291,287,348,462,227.1472,85.1802,310.6572,160.3392,1618.4238,2749.1492,486.0282,479.3474,581.2296,771.6324
